"id","date","days","name"
1,1851-06-25,4,"MISSING"
2,1851-07-05,1,"MISSING"
3,1851-07-10,1,"MISSING"
4,1851-08-16,12,"MISSING"
5,1851-09-13,4,"MISSING"
6,1851-10-16,4,"MISSING"
7,1852-08-19,12,"MISSING"
8,1852-09-05,2,"MISSING"
9,1852-09-09,5,"MISSING"
10,1852-09-22,9,"MISSING"
11,1852-10-06,6,"MISSING"
12,1853-08-05,1,"MISSING"
13,1853-08-10,1,"MISSING"
14,1853-08-30,12,"MISSING"
15,1853-09-08,3,"MISSING"
16,1853-09-21,1,"MISSING"
17,1853-09-26,6,"MISSING"
18,1853-09-28,1,"MISSING"
19,1853-10-19,4,"MISSING"
20,1854-06-25,3,"MISSING"
21,1854-08-23,1,"MISSING"
22,1854-09-07,6,"MISSING"
23,1854-09-18,3,"MISSING"
24,1854-10-20,3,"MISSING"
25,1855-08-06,1,"MISSING"
26,1855-08-10,2,"MISSING"
27,1855-08-11,1,"MISSING"
28,1855-08-24,4,"MISSING"
29,1855-09-15,3,"MISSING"
30,1856-08-09,4,"MISSING"
31,1856-08-13,2,"MISSING"
32,1856-08-19,3,"MISSING"
33,1856-08-21,1,"MISSING"
34,1856-08-25,10,"MISSING"
35,1856-09-18,5,"MISSING"
36,1857-06-30,2,"MISSING"
37,1857-09-06,13,"MISSING"
38,1857-09-22,5,"MISSING"
39,1857-09-24,7,"MISSING"
40,1858-06-12,1,"MISSING"
41,1858-08-05,1,"MISSING"
42,1858-09-14,4,"MISSING"
43,1858-09-17,8,"MISSING"
44,1858-09-22,4,"MISSING"
45,1858-10-21,6,"MISSING"
46,1859-07-01,1,"MISSING"
47,1859-08-17,3,"MISSING"
48,1859-09-02,2,"MISSING"
49,1859-09-12,2,"MISSING"
50,1859-09-15,4,"MISSING"
51,1859-10-02,5,"MISSING"
52,1859-10-16,3,"MISSING"
53,1859-10-24,6,"MISSING"
54,1860-08-08,9,"MISSING"
55,1860-08-24,3,"MISSING"
56,1860-09-11,6,"MISSING"
57,1860-09-11,1,"MISSING"
58,1860-09-18,4,"MISSING"
59,1860-09-30,4,"MISSING"
60,1860-10-20,5,"MISSING"
61,1861-07-06,7,"MISSING"
62,1861-08-13,5,"MISSING"
63,1861-08-25,6,"MISSING"
64,1861-09-17,1,"MISSING"
65,1861-09-27,2,"MISSING"
66,1861-10-06,4,"MISSING"
67,1861-10-07,1,"MISSING"
68,1861-11-01,3,"MISSING"
69,1862-06-15,3,"MISSING"
70,1862-08-18,4,"MISSING"
71,1862-09-12,9,"MISSING"
72,1862-10-06,1,"MISSING"
73,1862-10-14,4,"MISSING"
74,1862-11-22,4,"MISSING"
75,1863-08-08,2,"MISSING"
76,1863-08-18,2,"MISSING"
77,1863-08-19,5,"MISSING"
78,1863-08-27,2,"MISSING"
79,1863-09-09,8,"MISSING"
80,1863-09-16,4,"MISSING"
81,1863-09-18,2,"MISSING"
82,1863-09-26,2,"MISSING"
83,1863-09-29,3,"MISSING"
84,1864-07-16,3,"MISSING"
85,1864-07-25,1,"MISSING"
86,1864-08-26,7,"MISSING"
87,1864-09-05,4,"MISSING"
88,1864-10-22,3,"MISSING"
89,1865-05-30,1,"MISSING"
90,1865-06-30,1,"MISSING"
91,1865-08-20,5,"MISSING"
92,1865-09-06,9,"MISSING"
93,1865-09-07,1,"MISSING"
94,1865-09-28,1,"MISSING"
95,1865-10-18,8,"MISSING"
96,1866-07-11,6,"MISSING"
97,1866-08-13,6,"MISSING"
98,1866-09-04,4,"MISSING"
99,1866-09-18,1,"MISSING"
100,1866-09-22,3,"MISSING"
101,1866-09-24,12,"MISSING"
102,1866-10-29,2,"MISSING"
103,1867-06-21,3,"MISSING"
104,1867-07-28,7,"MISSING"
105,1867-08-02,1,"MISSING"
106,1867-08-31,4,"MISSING"
107,1867-09-08,1,"MISSING"
108,1867-09-29,3,"MISSING"
109,1867-10-02,8,"MISSING"
110,1867-10-09,1,"MISSING"
111,1867-10-27,5,"MISSING"
112,1868-09-03,5,"MISSING"
113,1868-10-01,7,"MISSING"
114,1868-10-05,3,"MISSING"
115,1868-10-15,3,"MISSING"
116,1869-08-12,1,"MISSING"
117,1869-08-16,2,"MISSING"
118,1869-08-27,1,"MISSING"
119,1869-09-01,2,"MISSING"
120,1869-09-04,3,"MISSING"
121,1869-09-07,3,"MISSING"
122,1869-09-11,8,"MISSING"
123,1869-09-14,1,"MISSING"
124,1869-10-01,1,"MISSING"
125,1869-10-04,2,"MISSING"
126,1870-07-30,1,"MISSING"
127,1870-08-30,6,"MISSING"
128,1870-09-01,4,"MISSING"
129,1870-09-09,5,"MISSING"
130,1870-09-17,4,"MISSING"
131,1870-10-05,10,"MISSING"
132,1870-10-07,1,"MISSING"
133,1870-10-10,2,"MISSING"
134,1870-10-19,4,"MISSING"
135,1870-10-23,1,"MISSING"
136,1870-10-30,5,"MISSING"
137,1871-06-01,5,"MISSING"
